tree_dbh,health,spc_common,sidewalk
2,Good,Japanese tree lilac,NoDamage
12,Poor,London planetree,NoDamage
21,Good,sycamore maple,NoDamage
33,Good,London planetree,NoDamage
5,Good,Callery pear,NoDamage
18,Good,Callery pear,Damage
6,Fair,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
7,Good,Callery pear,NoDamage
9,Good,Callery pear,NoDamage
11,Fair,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
7,Good,Callery pear,Damage
12,Good,silver linden,NoDamage
15,Good,Japanese zelkova,Damage
2,Good,northern red oak,NoDamage
28,Good,northern red oak,Damage
5,Good,northern red oak,NoDamage
3,Good,Japanese zelkova,NoDamage
7,Fair,Japanese zelkova,NoDamage
10,Good,American elm,NoDamage
19,Good,London planetree,Damage
4,Good,London planetree,NoDamage
26,Good,London planetree,Damage
27,Good,London planetree,Damage
26,Good,London planetree,Damage
7,Poor,Sophora,NoDamage
9,Fair,Sophora,NoDamage
12,Good,sweetgum,NoDamage
9,Good,sweetgum,Damage
8,Good,white oak,NoDamage
13,Good,sweetgum,NoDamage
37,Good,sweetgum,Damage
11,Good,sweetgum,Damage
5,Good,Sophora,NoDamage
15,Good,Sophora,NoDamage
3,Fair,white oak,NoDamage
4,Good,white oak,NoDamage
3,Good,Sophora,NoDamage
3,Good,golden raintree,NoDamage
3,Good,Persian ironwood,NoDamage
5,Good,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
4,Good,golden raintree,NoDamage
10,Good,golden raintree,Damage
7,Good,golden raintree,NoDamage
14,Good,black locust,NoDamage
4,Good,golden raintree,NoDamage
4,Fair,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
2,Good,black locust,NoDamage
3,Good,golden raintree,NoDamage
3,Good,swamp white oak,NoDamage
3,Good,swamp white oak,NoDamage
3,Good,swamp white oak,NoDamage
2,Fair,swamp white oak,NoDamage
3,Fair,swamp white oak,NoDamage
4,Good,swamp white oak,Damage
11,Good,scarlet oak,Damage
2,Good,swamp white oak,NoDamage
4,Good,swamp white oak,NoDamage
26,Good,pin oak,NoDamage
14,Good,green ash,NoDamage
10,Good,green ash,NoDamage
6,Good,green ash,NoDamage
9,Good,green ash,Damage
5,Good,Callery pear,NoDamage
5,Fair,silver linden,Damage
11,Good,silver linden,Damage
10,Good,Callery pear,NoDamage
7,Fair,Callery pear,NoDamage
14,Good,Callery pear,NoDamage
7,Poor,silver linden,NoDamage
2,Good,Callery pear,NoDamage
11,Good,Callery pear,NoDamage
7,Good,Callery pear,Damage
4,Fair,Callery pear,Damage
17,Good,Callery pear,NoDamage
8,Good,Callery pear,NoDamage
9,Good,pin oak,NoDamage
15,Good,littleleaf linden,Damage
4,Good,horse chestnut,NoDamage
11,Fair,littleleaf linden,Damage
6,Good,littleleaf linden,NoDamage
18,Good,littleleaf linden,Damage
4,Poor,littleleaf linden,Damage
5,Poor,littleleaf linden,NoDamage
9,Good,littleleaf linden,NoDamage
10,Good,littleleaf linden,NoDamage
6,Good,littleleaf linden,NoDamage
2,Good,littleleaf linden,NoDamage
18,Good,littleleaf linden,Damage
11,Good,black maple,Damage
1,Good,magnolia,NoDamage
3,Poor,Japanese maple,NoDamage
2,Good,magnolia,NoDamage
7,Good,shingle oak,NoDamage
3,Good,Japanese maple,NoDamage
15,Good,magnolia,NoDamage
4,Fair,paper birch,NoDamage
3,Good,Japanese maple,NoDamage
6,Good,Japanese maple,NoDamage
2,Good,Japanese maple,NoDamage
3,Fair,European alder,NoDamage
3,Good,shingle oak,Damage
2,Good,shingle oak,NoDamage
6,Good,pin oak,NoDamage
28,Good,pin oak,Damage
19,Good,pin oak,NoDamage
25,Good,pin oak,Damage
17,Good,pin oak,NoDamage
34,Good,pin oak,NoDamage
7,Fair,pin oak,NoDamage
8,Good,red maple,NoDamage
20,Good,pin oak,Damage
5,Good,pin oak,NoDamage
5,Fair,hedge maple,NoDamage
11,Good,red maple,Damage
12,Good,pin oak,NoDamage
4,Good,pin oak,NoDamage
4,Good,pin oak,NoDamage
6,Good,pin oak,NoDamage
13,Good,pin oak,NoDamage
2,Poor,Kentucky yellowwood,Damage
28,Good,pin oak,Damage
19,Good,pin oak,Damage
8,Fair,pin oak,NoDamage
32,Good,pin oak,Damage
18,Good,pin oak,Damage
4,Good,hedge maple,NoDamage
23,Good,pin oak,NoDamage
16,Good,pin oak,Damage
9,Good,Callery pear,Damage
17,Good,tree of heaven,NoDamage
9,Fair,Callery pear,Damage
10,Good,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
7,Good,Callery pear,NoDamage
11,Good,Callery pear,Damage
17,Good,Callery pear,Damage
8,Good,Callery pear,NoDamage
11,Good,Callery pear,Damage
12,Good,Callery pear,NoDamage
22,Good,Callery pear,NoDamage
4,Fair,Callery pear,NoDamage
25,Good,willow oak,Damage
4,Good,willow oak,NoDamage
15,Good,American elm,Damage
6,Poor,London planetree,NoDamage
24,Good,London planetree,NoDamage
4,Fair,London planetree,NoDamage
28,Good,London planetree,NoDamage
18,Good,London planetree,Damage
27,Fair,London planetree,Damage
28,Poor,sycamore maple,NoDamage
3,Fair,American elm,NoDamage
27,Good,London planetree,Damage
11,Fair,Callery pear,NoDamage
16,Good,Sophora,NoDamage
4,Good,Sophora,NoDamage
13,Good,Sophora,Damage
9,Good,Sophora,NoDamage
10,Fair,Sophora,NoDamage
5,Fair,London planetree,NoDamage
17,Good,London planetree,Damage
38,Good,London planetree,NoDamage
7,Poor,katsura tree,NoDamage
38,Good,London planetree,Damage
2,Good,katsura tree,NoDamage
32,Good,London planetree,Damage
12,Good,American elm,NoDamage
6,Good,green ash,NoDamage
13,Good,green ash,Damage
19,Good,green ash,Damage
16,Good,green ash,NoDamage
24,Fair,green ash,NoDamage
11,Good,cherry,Damage
21,Good,green ash,NoDamage
16,Fair,green ash,NoDamage
11,Good,green ash,Damage
21,Good,green ash,Damage
5,Good,green ash,NoDamage
10,Good,green ash,NoDamage
9,Good,green ash,Damage
12,Good,green ash,NoDamage
5,Good,swamp white oak,Damage
7,Good,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
33,Good,black locust,NoDamage
15,Fair,black locust,Damage
3,Good,Schumard's oak,NoDamage
22,Good,London planetree,NoDamage
31,Good,London planetree,Damage
27,Good,London planetree,NoDamage
25,Good,London planetree,Damage
20,Good,London planetree,NoDamage
2,Fair,crepe myrtle,NoDamage
29,Good,London planetree,NoDamage
15,Good,London planetree,NoDamage
6,Good,sycamore maple,NoDamage
3,Good,Callery pear,NoDamage
4,Good,Callery pear,Damage
23,Good,London planetree,NoDamage
4,Good,London planetree,Damage
15,Good,London planetree,NoDamage
5,Fair,London planetree,NoDamage
3,Good,Amur maple,Damage
27,Good,London planetree,Damage
22,Good,London planetree,Damage
30,Good,London planetree,Damage
24,Good,London planetree,NoDamage
17,Good,London planetree,Damage
8,Good,American hophornbeam,NoDamage
32,Good,London planetree,NoDamage
21,Good,London planetree,NoDamage
16,Good,London planetree,Damage
3,Fair,London planetree,Damage
18,Good,London planetree,Damage
4,Good,London planetree,Damage
32,Good,London planetree,Damage
4,Fair,London planetree,NoDamage
13,Good,sycamore maple,NoDamage
2,Good,katsura tree,NoDamage
27,Fair,London planetree,NoDamage
27,Good,London planetree,Damage
14,Good,littleleaf linden,NoDamage
15,Good,littleleaf linden,Damage
12,Good,littleleaf linden,NoDamage
7,Good,littleleaf linden,Damage
8,Good,littleleaf linden,NoDamage
9,Good,littleleaf linden,NoDamage
10,Good,littleleaf linden,Damage
24,Good,northern red oak,NoDamage
8,Fair,Callery pear,Damage
8,Good,Callery pear,NoDamage
7,Good,Callery pear,NoDamage
2,Fair,Callery pear,NoDamage
8,Good,Callery pear,NoDamage
11,Fair,Callery pear,NoDamage
15,Good,Callery pear,Damage
9,Good,Callery pear,Damage
3,Good,Japanese tree lilac,NoDamage
3,Good,Japanese tree lilac,Damage
2,Poor,hardy rubber tree,NoDamage
3,Good,Japanese tree lilac,Damage
2,Good,hardy rubber tree,NoDamage
6,Good,magnolia,Damage
5,Good,shingle oak,Damage
2,Good,paper birch,NoDamage
4,Good,shingle oak,NoDamage
3,Good,shingle oak,NoDamage
3,Fair,Chinese fringetree,NoDamage
5,Good,swamp white oak,NoDamage
4,Good,scarlet oak,Damage
3,Good,swamp white oak,NoDamage
1,Good,Chinese fringetree,Damage
3,Good,swamp white oak,NoDamage
4,Good,swamp white oak,NoDamage
15,Good,pin oak,Damage
10,Good,pin oak,NoDamage
3,Fair,English oak,NoDamage
9,Good,golden raintree,NoDamage
3,Good,golden raintree,NoDamage
2,Fair,Cornelian cherry,NoDamage
26,Good,Schumard's oak,NoDamage
3,Good,golden raintree,NoDamage
4,Good,golden raintree,Damage
5,Fair,black locust,NoDamage
14,Fair,black locust,NoDamage
7,Good,golden raintree,NoDamage
5,Fair,Schumard's oak,Damage
4,Good,Callery pear,NoDamage
13,Good,Callery pear,Damage
9,Fair,silver linden,NoDamage
15,Good,Callery pear,NoDamage
13,Good,Callery pear,Damage
7,Good,Callery pear,NoDamage
4,Fair,Callery pear,NoDamage
5,Good,Callery pear,NoDamage
11,Fair,silver linden,NoDamage
11,Fair,Callery pear,Damage
8,Good,silver linden,NoDamage
4,Good,Callery pear,NoDamage
6,Good,silver linden,NoDamage
13,Good,green ash,NoDamage
10,Good,green ash,Damage
4,Good,Japanese zelkova,NoDamage
8,Good,northern red oak,NoDamage
12,Good,Japanese zelkova,NoDamage
9,Good,Japanese zelkova,NoDamage
4,Good,Japanese zelkova,NoDamage
25,Good,London planetree,Damage
29,Good,London planetree,Damage
29,Good,London planetree,Damage
6,Good,American elm,NoDamage
37,Good,London planetree,Damage
34,Good,London planetree,Damage
8,Good,American elm,Damage
14,Good,London planetree,NoDamage
25,Fair,London planetree,NoDamage
16,Fair,London planetree,NoDamage
3,Good,Norway spruce,NoDamage
5,Good,crimson king maple,NoDamage
1,Fair,Kentucky coffeetree,NoDamage
11,Good,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
3,Fair,Callery pear,NoDamage
8,Good,Callery pear,NoDamage
4,Good,Callery pear,Damage
23,Poor,pin oak,NoDamage
20,Good,red maple,NoDamage
11,Good,pin oak,NoDamage
27,Good,pin oak,Damage
29,Good,pin oak,Damage
6,Fair,pin oak,Damage
16,Good,pin oak,NoDamage
4,Good,pin oak,NoDamage
25,Good,London planetree,NoDamage
7,Good,American hophornbeam,Damage
4,Fair,katsura tree,NoDamage
36,Good,London planetree,NoDamage
27,Good,London planetree,NoDamage
3,Fair,willow oak,NoDamage
11,Good,willow oak,NoDamage
4,Fair,pin oak,Damage
7,Fair,pin oak,NoDamage
21,Good,pin oak,Damage
18,Good,pin oak,Damage
17,Good,pin oak,Damage
14,Good,pin oak,Damage
3,Fair,American elm,NoDamage
22,Good,London planetree,NoDamage
24,Good,London planetree,Damage
13,Good,American elm,NoDamage
29,Good,London planetree,NoDamage
3,Good,American elm,NoDamage
3,Good,Sophora,NoDamage
12,Good,sweetgum,NoDamage
18,Good,Sophora,NoDamage
17,Good,Sophora,NoDamage
3,Good,Sophora,NoDamage
8,Good,Sophora,NoDamage
16,Good,Sophora,Damage
26,Fair,northern red oak,Damage
17,Good,Japanese zelkova,Damage
34,Good,northern red oak,Damage
4,Good,Japanese zelkova,NoDamage
8,Good,Japanese zelkova,NoDamage
11,Good,Japanese zelkova,NoDamage
2,Good,northern red oak,NoDamage
3,Good,hardy rubber tree,NoDamage
3,Good,Japanese tree lilac,NoDamage
3,Fair,Japanese tree lilac,NoDamage
5,Fair,Japanese tree lilac,NoDamage
2,Good,Japanese tree lilac,NoDamage
5,Good,Japanese tree lilac,Damage
3,Good,Japanese tree lilac,Damage
2,Good,hardy rubber tree,Damage
9,Fair,Japanese tree lilac,Damage
11,Poor,Japanese tree lilac,NoDamage
2,Fair,Japanese tree lilac,NoDamage
6,Good,Japanese tree lilac,NoDamage
3,Poor,hardy rubber tree,NoDamage
4,Poor,Schumard's oak,Damage
5,Good,golden raintree,Damage
17,Good,golden raintree,Damage
5,Good,Schumard's oak,NoDamage
2,Good,golden raintree,Damage
2,Fair,black locust,NoDamage
2,Good,Schumard's oak,NoDamage
15,Poor,black locust,NoDamage
5,Good,black locust,NoDamage
24,Fair,London planetree,NoDamage
27,Good,London planetree,NoDamage
27,Good,London planetree,NoDamage
5,Good,willow oak,NoDamage
2,Fair,swamp white oak,NoDamage
2,Poor,swamp white oak,NoDamage
5,Good,swamp white oak,NoDamage
2,Fair,swamp white oak,Damage
28,Good,swamp white oak,Damage
4,Good,Oklahoma redbud,NoDamage
6,Good,Oklahoma redbud,NoDamage
8,Good,swamp white oak,Damage
5,Good,swamp white oak,NoDamage
6,Good,scarlet oak,Damage
3,Good,Chinese fringetree,NoDamage
3,Good,flowering dogwood,NoDamage
5,Good,common hackberry,NoDamage
11,Good,Japanese zelkova,NoDamage
8,Good,black oak,NoDamage
3,Good,Japanese zelkova,NoDamage
5,Poor,Japanese zelkova,Damage
6,Good,Japanese zelkova,NoDamage
2,Good,Japanese zelkova,NoDamage
13,Good,London planetree,Damage
32,Good,London planetree,NoDamage
4,Good,London planetree,NoDamage
35,Good,London planetree,NoDamage
6,Good,Callery pear,NoDamage
9,Fair,Callery pear,NoDamage
4,Fair,Callery pear,NoDamage
15,Good,Callery pear,NoDamage
13,Good,Callery pear,NoDamage
8,Good,hedge maple,NoDamage
43,Good,pin oak,NoDamage
25,Good,red maple,NoDamage
6,Good,pin oak,NoDamage
34,Fair,pin oak,NoDamage
27,Good,pin oak,NoDamage
31,Good,pin oak,Damage
5,Good,pin oak,NoDamage
15,Good,pin oak,NoDamage
11,Good,pin oak,Damage
4,Good,red maple,NoDamage
15,Fair,pin oak,Damage
28,Good,pin oak,Damage
32,Good,pin oak,NoDamage
5,Fair,red maple,NoDamage
16,Good,pin oak,NoDamage
8,Fair,red maple,Damage
9,Good,pin oak,Damage
9,Fair,red maple,NoDamage
21,Good,pin oak,Damage
4,Fair,pin oak,NoDamage
19,Good,pin oak,NoDamage
3,Good,Kentucky coffeetree,NoDamage
17,Good,crimson king maple,NoDamage
1,Good,Norway spruce,Damage
8,Good,crimson king maple,NoDamage
6,Good,crimson king maple,NoDamage
13,Good,Norway spruce,NoDamage
6,Good,Kentucky coffeetree,Damage
14,Good,crimson king maple,NoDamage
11,Good,crimson king maple,NoDamage
4,Good,crimson king maple,NoDamage
7,Good,crimson king maple,NoDamage
9,Good,Kentucky coffeetree,NoDamage
17,Good,pin oak,Damage
4,Poor,red maple,NoDamage
6,Good,pin oak,NoDamage
26,Good,pin oak,NoDamage
34,Good,pin oak,NoDamage
28,Good,English oak,NoDamage
9,Good,red maple,NoDamage
5,Good,hedge maple,NoDamage
2,Good,pin oak,NoDamage
7,Good,pin oak,NoDamage
5,Fair,red maple,NoDamage
16,Good,pin oak,Damage
16,Fair,Schumard's oak,NoDamage
16,Good,sweetgum,NoDamage
13,Good,sweetgum,NoDamage
11,Good,Sophora,Damage
9,Fair,Sophora,Damage
10,Good,Sophora,NoDamage
13,Good,sweetgum,NoDamage
19,Good,Sophora,NoDamage
10,Fair,Sophora,NoDamage
12,Good,Sophora,NoDamage
6,Good,Sophora,NoDamage
25,Good,Sophora,Damage
16,Poor,Sophora,Damage
10,Good,littleleaf linden,NoDamage
12,Good,ash,NoDamage
22,Fair,London planetree,NoDamage
22,Good,London planetree,NoDamage
22,Fair,London planetree,Damage
3,Good,willow oak,NoDamage
34,Good,London planetree,NoDamage
4,Fair,willow oak,Damage
23,Good,American elm,NoDamage
38,Good,London planetree,NoDamage
17,Fair,American elm,NoDamage
31,Good,London planetree,NoDamage
30,Good,London planetree,Damage
32,Good,London planetree,Damage
11,Good,black oak,NoDamage
4,Good,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
7,Good,Callery pear,Damage
10,Good,silver linden,NoDamage
6,Fair,Callery pear,NoDamage
9,Good,Callery pear,NoDamage
12,Fair,Callery pear,Damage
16,Good,silver linden,Damage
14,Fair,silver linden,NoDamage
2,Good,Callery pear,NoDamage
6,Good,Callery pear,NoDamage
3,Good,eastern redbud,NoDamage
3,Poor,eastern redbud,NoDamage
12,Good,maple,NoDamage
4,Good,common hackberry,Damage
3,Fair,maple,NoDamage
3,Good,eastern redbud,Damage
3,Good,maple,NoDamage
4,Good,dawn redwood,NoDamage
5,Good,eastern redbud,NoDamage
28,Good,dawn redwood,NoDamage
2,Fair,common hackberry,Damage
8,Poor,maple,NoDamage
22,Good,maple,Damage
3,Good,Japanese tree lilac,Damage
5,Good,Japanese zelkova,NoDamage
4,Good,Japanese zelkova,NoDamage
8,Good,Japanese zelkova,NoDamage
11,Good,Japanese zelkova,NoDamage
4,Good,Japanese zelkova,NoDamage
25,Good,northern red oak,Damage
7,Good,Cornelian cherry,NoDamage
26,Good,Schumard's oak,Damage
7,Fair,Schumard's oak,NoDamage
3,Fair,Schumard's oak,NoDamage
2,Good,golden raintree,NoDamage
2,Good,golden raintree,NoDamage
4,Good,golden raintree,NoDamage
6,Good,golden raintree,NoDamage
16,Good,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
4,Good,Schumard's oak,NoDamage
5,Good,Schumard's oak,NoDamage
14,Good,black locust,NoDamage
35,Good,London planetree,NoDamage
23,Good,London planetree,NoDamage
30,Good,London planetree,NoDamage
11,Good,London planetree,NoDamage
27,Good,London planetree,Damage
27,Good,London planetree,NoDamage
39,Good,London planetree,NoDamage
23,Good,London planetree,Damage
24,Good,London planetree,Damage
7,Poor,katsura tree,NoDamage
15,Good,London planetree,NoDamage
5,Poor,sycamore maple,Damage
15,Good,London planetree,NoDamage
5,Good,hedge maple,NoDamage
23,Good,pin oak,NoDamage
18,Good,pin oak,Damage
8,Good,pin oak,NoDamage
5,Good,pin oak,NoDamage
9,Good,pin oak,Damage
28,Good,pin oak,NoDamage
21,Good,pin oak,Damage
14,Good,pin oak,Damage
5,Good,pin oak,NoDamage
27,Good,pin oak,Damage
4,Fair,purple-leaf plum,NoDamage
9,Good,cherry,NoDamage
2,Good,littleleaf linden,NoDamage
7,Good,littleleaf linden,Damage
3,Fair,horse chestnut,Damage
4,Poor,littleleaf linden,NoDamage
18,Good,littleleaf linden,Damage
11,Good,littleleaf linden,Damage
14,Good,littleleaf linden,Damage
9,Fair,littleleaf linden,NoDamage
9,Good,littleleaf linden,NoDamage
16,Good,littleleaf linden,Damage
13,Good,littleleaf linden,NoDamage
15,Good,littleleaf linden,Damage
9,Poor,littleleaf linden,Damage
28,Good,London planetree,NoDamage
9,Good,cherry,NoDamage
7,Fair,cherry,NoDamage
17,Good,cherry,NoDamage
3,Good,purple-leaf plum,NoDamage
10,Good,cherry,NoDamage
11,Good,cherry,NoDamage
7,Good,cherry,Damage
7,Poor,cherry,NoDamage
6,Good,cherry,Damage
7,Fair,cherry,NoDamage
4,Fair,cherry,NoDamage
2,Good,cherry,NoDamage
6,Good,Japanese zelkova,NoDamage
17,Good,northern red oak,NoDamage
11,Good,Chinese elm,NoDamage
4,Fair,northern red oak,NoDamage
3,Good,Chinese elm,NoDamage
12,Fair,Sophora,Damage
6,Fair,white oak,NoDamage
11,Good,sweetgum,Damage
11,Good,Sophora,NoDamage
16,Good,Sophora,Damage
5,Good,golden raintree,NoDamage
11,Fair,black locust,NoDamage
5,Fair,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
20,Fair,black locust,Damage
11,Good,Cornelian cherry,NoDamage
4,Good,Cornelian cherry,Damage
3,Good,Schumard's oak,Damage
6,Good,Persian ironwood,NoDamage
3,Good,golden raintree,NoDamage
7,Fair,golden raintree,NoDamage
5,Good,golden raintree,NoDamage
29,Good,black locust,NoDamage
6,Fair,Callery pear,NoDamage
8,Fair,silver linden,NoDamage
18,Good,Callery pear,NoDamage
3,Fair,silver linden,NoDamage
11,Poor,tree of heaven,Damage
5,Fair,Callery pear,NoDamage
14,Good,Callery pear,Damage
6,Good,Callery pear,NoDamage
6,Good,Sophora,Damage
11,Good,sweetgum,Damage
21,Good,sweetgum,NoDamage
5,Good,Sophora,Damage
20,Good,Sophora,Damage
4,Good,flowering dogwood,NoDamage
22,Good,maple,Damage
4,Good,eastern redbud,NoDamage
4,Poor,dawn redwood,NoDamage
3,Poor,cherry,NoDamage
11,Fair,sugar maple,Damage
4,Good,cherry,NoDamage
7,Fair,cherry,Damage
4,Good,cherry,NoDamage
25,Fair,sugar maple,NoDamage
6,Good,cherry,NoDamage
5,Good,cherry,NoDamage
4,Fair,cherry,NoDamage
11,Good,black locust,Damage
15,Good,black locust,Damage
2,Fair,black locust,NoDamage
12,Good,black locust,NoDamage
5,Good,golden raintree,Damage
5,Good,golden raintree,NoDamage
14,Good,crimson king maple,Damage
8,Good,Kentucky coffeetree,Damage
6,Good,crimson king maple,NoDamage
3,Good,American beech,NoDamage
13,Fair,crimson king maple,NoDamage
16,Fair,crimson king maple,Damage
6,Good,Kentucky coffeetree,NoDamage
10,Poor,littleleaf linden,NoDamage
13,Good,littleleaf linden,Damage
7,Good,littleleaf linden,NoDamage
4,Fair,littleleaf linden,NoDamage
7,Poor,littleleaf linden,Damage
41,Good,London planetree,NoDamage
31,Good,London planetree,Damage
4,Good,willow oak,NoDamage
39,Good,American elm,Damage
34,Good,London planetree,Damage
32,Good,London planetree,Damage
13,Good,London planetree,Damage
24,Good,London planetree,Damage
4,Good,cherry,NoDamage
9,Good,cherry,NoDamage
5,Good,cherry,NoDamage
2,Fair,cherry,Damage
5,Good,purple-leaf plum,NoDamage
6,Good,cherry,Damage
3,Good,cherry,NoDamage
3,Good,cherry,Damage
6,Good,cherry,NoDamage
16,Good,sugar maple,NoDamage
8,Good,cherry,NoDamage
5,Good,cherry,NoDamage
7,Good,cherry,NoDamage
5,Good,purple-leaf plum,NoDamage
35,Fair,London planetree,NoDamage
14,Fair,pin oak,NoDamage
28,Good,pin oak,NoDamage
31,Good,pin oak,NoDamage
19,Fair,pin oak,Damage
26,Good,pin oak,NoDamage
4,Good,red maple,NoDamage
21,Good,pin oak,NoDamage
24,Good,pin oak,Damage
4,Good,red maple,Damage
26,Good,pin oak,Damage
3,Good,hedge maple,NoDamage
2,Good,red maple,NoDamage
12,Good,Schumard's oak,NoDamage
3,Good,golden raintree,NoDamage
8,Good,Cornelian cherry,NoDamage
7,Fair,golden raintree,NoDamage
4,Good,golden raintree,Damage
7,Fair,littleleaf linden,NoDamage
15,Good,littleleaf linden,Damage
27,Fair,littleleaf linden,NoDamage
14,Good,littleleaf linden,NoDamage
8,Good,littleleaf linden,Damage
2,Good,littleleaf linden,NoDamage
4,Fair,littleleaf linden,NoDamage
15,Good,littleleaf linden,Damage
2,Good,cherry,NoDamage
3,Good,cherry,NoDamage
2,Good,cherry,NoDamage
2,Fair,cherry,NoDamage
5,Good,cherry,NoDamage
5,Good,cherry,NoDamage
3,Good,cherry,Damage
2,Good,purple-leaf plum,NoDamage
12,Fair,sugar maple,NoDamage
8,Good,purple-leaf plum,NoDamage
4,Good,purple-leaf plum,NoDamage
10,Good,catalpa,Damage
7,Good,'Schubert' chokecherry,NoDamage
3,Good,sweetgum,NoDamage
5,Good,Sophora,NoDamage
10,Good,Sophora,NoDamage
4,Good,Sophora,NoDamage
5,Good,Sophora,NoDamage
2,Poor,Sophora,NoDamage
3,Good,Sophora,Damage
25,Good,sweetgum,NoDamage
14,Good,sweetgum,NoDamage
6,Fair,Sophora,NoDamage
14,Good,Sophora,Damage
5,Poor,Sophora,NoDamage
18,Good,Sophora,NoDamage
16,Good,Sophora,Damage
4,Good,sweetgum,NoDamage
12,Good,Sophora,NoDamage
7,Fair,Sophora,NoDamage
23,Good,Sophora,Damage
7,Good,Sophora,NoDamage
7,Good,white oak,NoDamage
3,Good,Sophora,NoDamage
10,Fair,Sophora,NoDamage
13,Poor,Sophora,NoDamage
11,Good,Sophora,NoDamage
17,Good,Sophora,NoDamage
6,Fair,Sophora,Damage
18,Fair,Himalayan cedar,NoDamage
9,Good,Kentucky coffeetree,NoDamage
8,Good,Kentucky coffeetree,NoDamage
8,Good,crimson king maple,Damage
15,Good,Norway spruce,NoDamage
11,Fair,crimson king maple,NoDamage
3,Good,Kentucky coffeetree,Damage
17,Good,crimson king maple,NoDamage
13,Good,crimson king maple,Damage
7,Good,Kentucky coffeetree,Damage
7,Good,crimson king maple,Damage
10,Good,cherry,NoDamage
11,Good,purple-leaf plum,NoDamage
2,Poor,'Schubert' chokecherry,NoDamage
4,Poor,'Schubert' chokecherry,NoDamage
25,Good,catalpa,Damage
4,Good,hawthorn,NoDamage
5,Good,'Schubert' chokecherry,NoDamage
3,Good,'Schubert' chokecherry,NoDamage
10,Poor,hawthorn,NoDamage
26,Good,catalpa,Damage
3,Good,hawthorn,NoDamage
3,Good,'Schubert' chokecherry,NoDamage
3,Good,'Schubert' chokecherry,NoDamage
5,Fair,'Schubert' chokecherry,NoDamage
4,Good,'Schubert' chokecherry,NoDamage
19,Good,Sophora,Damage
21,Good,London planetree,NoDamage
26,Good,London planetree,NoDamage
27,Good,London planetree,NoDamage
3,Fair,American elm,NoDamage
22,Good,London planetree,NoDamage
23,Good,London planetree,NoDamage
15,Poor,London planetree,NoDamage
42,Good,American elm,NoDamage
34,Good,American elm,NoDamage
3,Poor,London planetree,NoDamage
26,Good,London planetree,NoDamage
7,Good,American elm,NoDamage
3,Fair,cherry,NoDamage
6,Fair,cherry,NoDamage
19,Good,cherry,Damage
4,Good,cherry,NoDamage
10,Fair,cherry,NoDamage
5,Good,cherry,Damage
2,Good,cherry,NoDamage
3,Good,cherry,NoDamage
12,Good,cherry,Damage
7,Good,cherry,Damage
4,Fair,cherry,NoDamage
2,Good,cherry,Damage
2,Fair,cherry,NoDamage
6,Good,cherry,NoDamage
19,Good,Sophora,Damage
18,Good,London planetree,NoDamage
32,Good,London planetree,Damage
11,Good,American elm,NoDamage
29,Good,London planetree,NoDamage
29,Fair,London planetree,NoDamage
24,Fair,London planetree,NoDamage
5,Good,London planetree,NoDamage
7,Good,katsura tree,NoDamage
28,Good,London planetree,NoDamage
10,Good,London planetree,Damage
4,Good,willow oak,NoDamage
26,Good,London planetree,NoDamage
4,Good,hawthorn,NoDamage
4,Good,hawthorn,Damage
2,Good,hawthorn,NoDamage
5,Good,hawthorn,NoDamage
24,Good,London planetree,NoDamage
6,Good,American elm,NoDamage
3,Good,American elm,NoDamage
23,Good,London planetree,Damage
20,Fair,London planetree,Damage
25,Good,London planetree,NoDamage
20,Good,London planetree,Damage
10,Good,Amur maple,NoDamage
38,Good,London planetree,Damage
27,Good,London planetree,NoDamage
22,Good,London planetree,NoDamage
22,Good,London planetree,Damage
17,Good,willow oak,NoDamage
13,Good,London planetree,NoDamage
18,Good,London planetree,NoDamage
3,Poor,paperbark maple,Damage
4,Good,paperbark maple,NoDamage
1,Good,serviceberry,NoDamage
2,Good,paperbark maple,NoDamage
3,Good,bald cypress,NoDamage
5,Fair,serviceberry,Damage
4,Good,serviceberry,NoDamage
1,Good,cherry,NoDamage
5,Good,cherry,NoDamage
8,Good,cherry,NoDamage
9,Good,cherry,NoDamage
3,Fair,sugar maple,NoDamage
31,Good,London planetree,Damage
20,Good,London planetree,Damage
35,Good,London planetree,Damage
35,Good,London planetree,Damage
19,Good,London planetree,NoDamage
26,Good,London planetree,NoDamage
19,Good,London planetree,NoDamage
39,Good,London planetree,Damage
29,Good,London planetree,Damage
15,Fair,London planetree,Damage
17,Good,London planetree,NoDamage
19,Good,London planetree,NoDamage
3,Poor,London planetree,NoDamage
20,Good,London planetree,Damage
10,Fair,littleleaf linden,Damage
14,Good,littleleaf linden,NoDamage
16,Good,littleleaf linden,NoDamage
10,Fair,littleleaf linden,NoDamage
5,Good,littleleaf linden,NoDamage
8,Good,littleleaf linden,NoDamage
